Importers	2020-Exported quantity, Tons	2021-Exported quantity, Tons	2022-Exported quantity, Tons	2023-Exported quantity, Tons	2024-Exported quantity, Tons	
"Mauritania"		0	4	2	2	
"New Caledonia"	0	1	0	7	2	
"Sierra Leone"	0	1	3	2	2	
"Syrian Arab Republic"					2	
"Yemen"	1	1	1	1	2	
"Guinea-Bissau"		0			1	
"South Sudan"		0		0	1	
"Belize"	0	0			1	
"Congo"	1	1	1	0	1	
"Kiribati"	0	0		0	1	
"Iran, Islamic Republic of"	25	26	1	14	1	
"Mali"	0	0	0	12	1	
"Namibia"	2	3	3	2	1	
"Timor-Leste"	1	0	1	0	1	
"Rwanda"	1	0	0	0	1	
"Suriname"	2	1	1	0	1	
"Bouvet Island"					0	
"Cayman Islands"		0	0	0	0	
"Chad"	0	0	2	0	0	
"Equatorial Guinea"	0		0	0	0	
"Djibouti"	2	1	5	6	0	
"Guam"				0	0	
"Korea, Democratic People's Republic of"					0	
"Montenegro"	0		2	0	0	
"Sint Maarten (Dutch part)"			0	0	0	
"Niue"					0	
"Marshall Islands"	0	0	0	0	0	
"Antigua and Barbuda"		0			0	
"Bahamas"		0	0		0	
"Bermuda"		0	0	1	0	
"Bhutan"		4		0	0	
"Solomon Islands"	1	0	0	0	0	
"Burundi"		0	0	17	0	
"Cabo Verde"		0	0	2	0	
"Comoros"				0	0	
"Grenada"			2		0	
"Haiti"	2	3	0	0	0	
"Lesotho"			0		0	
"Curaçao"				0	0	
"Aruba"					0	
"Niger"	0	0	0	0	0	
"Micronesia, Federated States of"					0	
"Saint Kitts and Nevis"					0	
"Sao Tome and Principe"	0	0			0	
"Seychelles"	0	0	1	0	0	
"Tonga"	0	1		0	0	
"Samoa"	0	0		0	0	
"Gibraltar"		0				
"Oceania Nes"		0				
"Europe Othr. Nes"			0			
"America not elsewhere specified"			0			
"Barbados"		0	0			
"Central African Republic"	0	0				
"Dominica"	0	6	0	0		
"French Polynesia"	0	0	0			
"Gambia"		0	0	0		
"Palau"		0				
"Eswatini"	0					
"Turks and Caicos Islands"	0					
